o,percentGood
http://dbpedia.org/resource/2003_MTV_Movie_Awards,100
http://dbpedia.org/resource/London_Film_Critics_Circle_Award_for_Film_of_the_Year,100
http://dbpedia.org/resource/Sant_Jordi_Awards,100
http://dbpedia.org/resource/Star_Screen_Awards,100
http://dbpedia.org/resource/List_of_Hong_Kong_submissions_for_the_Academy_Award_for_Best_Foreign_Language_Film,100
http://dbpedia.org/resource/IIFA_Award_for_Best_Male_Playback,100
http://dbpedia.org/resource/Asian_Film_Award_for_Best_Director,100
http://dbpedia.org/resource/Boston_Society_of_Film_Critics_Awards_2004,100
http://dbpedia.org/resource/Dallas-Fort_Worth_Film_Critics_Association:_Top_10_Films,100
http://dbpedia.org/resource/List_of_foreign-language_films_nominated_for_Academy_Awards,100
http://dbpedia.org/resource/Boston_Society_of_Film_Critics_Awards_2008,100
http://dbpedia.org/resource/2010_MTV_Movie_Awards,100
http://dbpedia.org/resource/Template:GuldbaggeAwardBestFilm,100
http://dbpedia.org/resource/Classic_Brit_Awards,100
http://dbpedia.org/resource/1978_New_York_Film_Critics_Circle_Awards,100
http://dbpedia.org/resource/Panda_Award,100
http://dbpedia.org/resource/Asian_Film_Award_for_Best_Film,100
http://dbpedia.org/resource/65th_Bodil_Awards,100
http://dbpedia.org/resource/Template:Hochi_Film_Award_for_Best_Film,100
http://dbpedia.org/resource/Visual_Effects_Society_Awards_2012,100
http://dbpedia.org/resource/Dallas%E2%80%93Fort_Worth_Film_Critics_Association_Awards_2011,100
http://dbpedia.org/resource/USC_Scripter_Award,100
http://dbpedia.org/resource/National_Board_of_Review_Awards_2010,100
http://dbpedia.org/resource/25th_Saturn_Awards,100
http://dbpedia.org/resource/Golden_Globe_Awards_1994,100
http://dbpedia.org/resource/Filmfare_Award_for_Best_Lyricist,100
http://dbpedia.org/resource/Golden_Reel_Award_(Motion_Picture_Sound_Editors),100
http://dbpedia.org/resource/London_Film_Critics_Circle_Awards_1998,100
http://dbpedia.org/resource/47th_Annual_Grammy_Awards,100
http://dbpedia.org/resource/2013_Kids'_Choice_Awards,100
http://dbpedia.org/resource/Satellite_Awards_2007,100
http://dbpedia.org/resource/Best_Sports_Movie_ESPY_Award,100
http://dbpedia.org/resource/New_York_Film_Critics_Circle_Award_for_Best_Supporting_Actor,100
http://dbpedia.org/resource/Chicago_Film_Critics_Association_Awards_2004,100
http://dbpedia.org/resource/1st_AACTA_International_Awards,100
http://dbpedia.org/resource/51st_Academy_Awards,100
http://dbpedia.org/resource/National_Board_of_Review_Awards_1992,100
http://dbpedia.org/resource/National_Board_of_Review_Award_for_Best_Supporting_Actress,100
http://dbpedia.org/resource/Profile_in_Courage_Award,100
http://dbpedia.org/resource/61st_Golden_Globe_Awards,100
http://dbpedia.org/resource/37th_Academy_Awards,100
http://dbpedia.org/resource/National_Society_of_Film_Critics_Awards_2008,100
http://dbpedia.org/resource/Guldbagge_Award_for_Best_Actor_in_a_Supporting_Role,100
http://dbpedia.org/resource/Directors_Guild_of_America_Awards_1997,100
http://dbpedia.org/resource/Toronto_Film_Critics_Association_Award_for_Best_Actor,100
http://dbpedia.org/resource/Phoenix_Film_Critics_Society_Award_for_Best_Actress,100
http://dbpedia.org/resource/21st_European_Film_Awards,100
http://dbpedia.org/resource/Online_Film_Critics_Society_Award_for_Best_Actress,100
http://dbpedia.org/resource/Jussi_Award,100
http://dbpedia.org/resource/47th_Guldbagge_Awards,100
http://dbpedia.org/resource/Writers_Guild_of_America_Awards_1997,100
http://dbpedia.org/resource/BBC_Four_World_Cinema_Award,100
http://dbpedia.org/resource/San_Diego_Film_Critics_Society_Award_for_Best_Performance_by_an_Ensemble,100
http://dbpedia.org/resource/2006_MTV_Movie_Awards,100
http://dbpedia.org/resource/AACTA_Award_for_Best_Cinematography,100
http://dbpedia.org/resource/National_Board_of_Review_Awards_1988,100
http://dbpedia.org/resource/Palm_Dog_Award,100
http://dbpedia.org/resource/Black_Reel_Award_for_Best_Actor,100
http://dbpedia.org/resource/Chicago_Film_Critics_Association_Awards_1991,100
http://dbpedia.org/resource/San_Diego_Film_Critics_Society_Awards_2006,100
http://dbpedia.org/resource/Kansas_City_Film_Critics_Circle_Award_for_Best_Actor,100
http://dbpedia.org/resource/Phoenix_Film_Critics_Society_Award_for_Best_Director,100
http://dbpedia.org/resource/Genie_Award_for_Best_Achievement_in_Direction,100
http://dbpedia.org/resource/Asia_Pacific_Screen_Award_for_Best_Performance_by_an_Actor,100
http://dbpedia.org/resource/Dallas%E2%80%93Fort_Worth_Film_Critics_Association_Award_for_Best_Supporting_Actor,100
http://dbpedia.org/resource/American_Society_of_Cinematographers_Awards_2007,100
http://dbpedia.org/resource/Sir_Arthur_Clarke_Award,100
http://dbpedia.org/resource/BMI_Film_&_TV_Award,100
http://dbpedia.org/resource/31st_People's_Choice_Awards,100
http://dbpedia.org/resource/37th_Annie_Awards,100
http://dbpedia.org/resource/Film_Critics_Circle_of_Australia_Awards,100
http://dbpedia.org/resource/Template:Golden_Globe_Award_Best_Motion_Picture_Musical_or_Comedy,100
http://dbpedia.org/resource/7th_Irish_Film_&_Television_Awards,100
http://flash.sonypictures.com/video/movies/thesocialnetwork/awards/thesocialnetwork_screenplay.pdf,100
http://dbpedia.org/resource/London_Film_Critics_Circle,100
http://dbpedia.org/resource/Empire_Award_for_Best_British_Film,100
http://dbpedia.org/resource/AACTA_Award_for_Best_Actress_in_a_Leading_Role,100
http://dbpedia.org/resource/Hellenic_Film_Academy_Awards,100
http://dbpedia.org/resource/San_Diego_Film_Critics_Society_Award_for_Best_Original_Screenplay,100
http://dbpedia.org/resource/Black_Reel_Award:_Best_Actor,100
http://dbpedia.org/resource/National_Board_of_Review_Awards,100
http://dbpedia.org/resource/Hong_Kong_Film_Award_for_Best_Supporting_Actress,100
http://dbpedia.org/resource/National_Board_of_Review_Awards_1996,100
http://www.usatoday.com/life/movies/movieawards/2006-01-29-sundance-wrap_x.htm,100
http://dbpedia.org/resource/National_Board_of_Review_Awards_2005,100
http://dbpedia.org/resource/Vancouver_Film_Critics_Circle_Award_for_Best_Supporting_Actor,100
http://dbpedia.org/resource/Grand_Bell_Award,100
http://dbpedia.org/resource/BIFA_Award_for_Best_Supporting_Actress,100
http://dbpedia.org/resource/Korean_Film_Award,100
http://dbpedia.org/resource/Satellite_Awards_2006,100
http://dbpedia.org/resource/Houston_Film_Critics_Society_Awards,100
http://dbpedia.org/resource/AFI's_100_Years%E2%80%A6100_Thrills,100
http://dbpedia.org/resource/Visual_Effects_Society_Awards_2013,100
http://dbpedia.org/resource/Star_Screen_Award_for_Best_Background_Music,100
http://dbpedia.org/resource/National_Society_of_Film_Critics_Awards_2012,100
http://dbpedia.org/resource/MTV_Movie_Award_for_Best_On-Screen_Duo,100
http://dbpedia.org/resource/2008_MTV_Video_Music_Awards,100
http://dbpedia.org/resource/Filmfare_Best_Lyricist_Award,100
http://dbpedia.org/resource/Los_Angeles_Film_Critics_Association_Awards_1990,100
http://dbpedia.org/resource/Empire_Award_for_Best_Thriller,100
http://dbpedia.org/resource/Golden_Bear_(award),100
http://dbpedia.org/resource/2013_Denver_Film_Critics_Society_Awards,100
http://dbpedia.org/resource/Screen_Award_for_Best_Background_Music,100
http://dbpedia.org/resource/C%C3%A9sar_Award_for_Best_Sound,100
http://dbpedia.org/resource/Template:BAFTA_Best_Film,100
http://dbpedia.org/resource/Chicago_Film_Critics_Association_Award_for_Best_Supporting_Actor,100
http://dbpedia.org/resource/Chicago_Film_Critics_Association_Awards_2006,100
http://dbpedia.org/resource/41st_Golden_Globe_Awards,100
http://dbpedia.org/resource/British_Independent_Film_Awards_2009,100
http://dbpedia.org/resource/Washington_D.C._Area_Film_Critics_Association_Awards_2006,100
http://dbpedia.org/resource/San_Francisco_Film_Critics_Circle_Awards_2005,100
http://dbpedia.org/resource/Kansas_City_Film_Critics_Circle_Award_for_Best_Foreign_Language_Film,100
http://dbpedia.org/resource/9th_Golden_Satellite_Awards,100
http://dbpedia.org/resource/Los_Angeles_Film_Critics_Association_Award_for_Best_Supporting_Actress,100
http://dbpedia.org/resource/Las_Vegas_Film_Critics_Society_Awards_1997,100
http://dbpedia.org/resource/Satellite_Award_for_Best_Actor_%E2%80%93_Motion_Picture_Musical_or_Comedy,100
http://dbpedia.org/resource/Broadcast_Film_Critics_Association_Award_for_Best_Comedy_Film,100
http://dbpedia.org/resource/Hong_Kong_Film_Award_for_Best_Director,100
http://dbpedia.org/resource/1st_Screen_Actors_Guild_Awards,100
http://dbpedia.org/resource/Florida_Film_Critics_Circle_Award_for_Best_Foreign_Language_Film,100
http://dbpedia.org/resource/16th_C%C3%A9sar_Awards,100
http://dbpedia.org/resource/World_Soundtrack_Awards_2012,100
http://dbpedia.org/resource/Vancouver_Film_Critics_Circle_Award_for_Best_Supporting_Actress,100
http://dbpedia.org/resource/50th_Directors_Guild_of_America_Awards,100
http://dbpedia.org/resource/National_Board_of_Review_Award_for_Best_Actor,100
http://dbpedia.org/resource/Black_Reel_Award,100
http://dbpedia.org/resource/Boston_Society_of_Film_Critics_Award_for_Best_Actor,100
http://dbpedia.org/resource/12th_Screen_Actors_Guild_Awards,100
http://dbpedia.org/resource/MTV_Movie_Award_for_Best_Hero,100
http://dbpedia.org/resource/53rd_British_Academy_Film_Awards,100
http://dbpedia.org/resource/National_Society_of_Film_Critics_Award_for_Best_Cinematography,100
http://dbpedia.org/resource/23rd_Academy_Awards,100
http://dbpedia.org/resource/Youth_in_Film_Award,100
http://dbpedia.org/resource/National_Society_of_Film_Critics_Awards_2007,100
http://dbpedia.org/resource/British_Independent_Film_Award_%E2%80%93_Best_Supporting_Actress,100
http://dbpedia.org/resource/European_Film_Award_for_Best_Composer,100
http://dbpedia.org/resource/50th_Golden_Globe_Awards,100
http://dbpedia.org/resource/Florida_Film_Critics_Circle_Award_for_Best_Supporting_Actress,100
http://dbpedia.org/resource/IIFA_Award_for_Best_Music_Director,100
http://dbpedia.org/resource/Teen_Choice_Awards_2010,100
http://dbpedia.org/resource/25th_Annual_Grammy_Awards,100
http://dbpedia.org/resource/Template:Indian_submission_for_Academy_Awards,100
http://dbpedia.org/resource/MovieGuide_Award,100
http://dbpedia.org/resource/BAFTA_Film_Award,100
http://dbpedia.org/resource/Robert_Award,100
http://dbpedia.org/resource/Chicago_Film_Critics_Association_Award_for_Best_Screenplay,100
http://dbpedia.org/resource/Las_Vegas_Film_Critics_Society_Award_for_Best_Song,100
http://dbpedia.org/resource/38th_People's_Choice_Awards,100
http://dbpedia.org/resource/IIFA_Best_Lyricist_Award,100
http://dbpedia.org/resource/Washington_D._C._Area_Film_Critics_Association,100
http://dbpedia.org/resource/Eddie_Award,100
http://dbpedia.org/resource/Edgar_Allan_Poe_Award_for_Best_Motion_Picture_Screenplay,100
http://dbpedia.org/resource/Chicago_Film_Critics_Association_Awards_2013,100
http://dbpedia.org/resource/Chicago_Film_Critics_Association_Award_for_Best_Foreign_Language_Film,100
http://dbpedia.org/resource/Gotham_Independent_Film_Awards_2011,100
http://dbpedia.org/resource/80th_Academy_Awards_nominees_and_winners,100
http://dbpedia.org/resource/68th_Academy_Awards,100
http://dbpedia.org/resource/45th_Academy_Awards,100
http://dbpedia.org/resource/African-American_Film_Critics_Association_Awards_2009,100
http://dbpedia.org/resource/1983_Grammy_Awards,100
http://dbpedia.org/resource/List_of_Indian_submissions_for_the_Academy_Award_for_Best_Foreign_Language_Film,100
"http://dbpedia.org/resource/Rising_Star_Award,_BAFTA",100
http://dbpedia.org/resource/Golden_Globe_Award_for_Best_Director_%E2%80%94_Motion_Picture,100
http://dbpedia.org/resource/Screen_Award_for_Best_Director,100
http://dbpedia.org/resource/15th_Grammy_Awards,100
http://dbpedia.org/resource/26th_Young_Artist_Awards,100
http://dbpedia.org/resource/C%C3%A9sar_Award_for_Best_Actor_in_a_Supporting_Role,100
http://dbpedia.org/resource/MTV_Russia_Movie_Awards,100
http://dbpedia.org/resource/Template:Saturn_Award_for_Best_Action_or_Adventure_Film_2011%E2%80%932030,100
http://dbpedia.org/resource/Washington_DC_Area_Film_Critics_Association_Awards,100
